player,pos,adp,adp_sd,ecr
Quentin Carter,RB,1,6.09,1
Roman Harrison,RB,2,6.18,2
Marcus Wilson,RB,3,6.27,3
Troy Thomas,RB,4,6.36,4
Jonathon Hall,QB,5,6.45,5
Bo Gibbs,RB,6,6.54,6
Ladd Bigsby,WR,7,6.63,7
Bijan Pollard,RB,8,6.72,8
Marvin Thomas,RB,9,6.81,9
Kimani Franklin,RB,10,6.9,10
Xzavier Maye,WR,11,6.99,11
Rome Pollard,WR,12,7.08,12
Braelon Adams,WR,13,7.17,13
Ricky Tracy,QB,14,7.26,14
Chase Robinson,RB,15,7.35,15
Kyren Etienne,QB,16,7.44,16
Bijan Hill,WR,17,7.53,17
Bijan Corum,QB,18,7.62,18
Braelon Brooks,QB,19,7.71,19
Marvin Daniels,WR,20,7.8,20
Marcus Pollard,QB,21,7.89,21
Javon Coleman,WR,22,7.98,22
Elic Odunze,RB,23,8.07,23
Deven McConkey,QB,24,8.16,24
Ainias Allen,QB,25,8.25,25
Bo Robinson,QB,26,8.34,26
Javon Gibbs,RB,27,8.43,27
Emeka Gibbs,RB,28,8.52,28
Puka Estime,QB,29,8.61,29
Amari Bigsby,RB,30,8.7,30
Devon Spears,WR,31,8.79,31
Malik Brooks,WR,32,8.88,32
Puka Odunze,WR,33,8.97,33
Devon Penix,QB,34,9.06,34
Ladd Nix,QB,35,9.15,35
Theo Daniels,QB,36,9.24,36
Isaiah Mitchell,WR,37,9.33,37
Jonathon Bigsby,TE,38,9.42,38
Bijan Spears,QB,39,9.51,39
Tyreek Jefferson,TE,40,9.6,40
Rashee Brooks,WR,41,9.69,41
Tank Shipley,QB,42,9.78,42
Audric Estime,RB,43,9.87,43
Javon Brooks,WR,44,9.96,44
Keon Bigsby,RB,45,10.05,45
Jayden Harrison,WR,46,10.14,46
Garrett Gibbs,RB,47,10.23,47
Deven Gibbs,QB,48,10.32,48
Isaiah Robinson,RB,49,10.41,49
Troy Walker,QB,50,10.5,50
Malik Hall,WR,51,10.59,51
Troy Estime,WR,52,10.68,52
Jaxon Swift,WR,53,10.77,53
Deven Irving,QB,54,10.86,54
Keon Irving,QB,55,10.95,55
Tucker Spears,QB,56,11.04,56
Roman Hill,TE,57,11.13,57
Jalen Mason,WR,58,11.22,58
Braelon Estime,TE,59,11.31,59
Jaxon Maye,TE,60,11.4,60
Emeka Mason,TE,61,11.49,61
Chase Irving,RB,62,11.58,62
Dylan Mitchell,WR,63,11.67,63
Xavier Penix,WR,64,11.76,64
Jalen Coleman,WR,65,11.85,65
Roman Walker,QB,66,11.94,66
Isaiah Brown,RB,67,12.03,67
Devon Jefferson,RB,68,12.12,68
Tucker Swift,WR,69,12.21,69
Braelon Thomas,WR,70,12.3,70
Xavier Bowers,WR,71,12.39,71
Ladd Dowdle,RB,72,12.48,72
Audric Benson,TE,73,12.57,73
Blake Odunze,TE,74,12.66,74
Puka Wright,RB,75,12.75,75
Deven Penix,WR,76,12.84,76
Braelon Benson,WR,77,12.93,77
Puka Nabers,RB,78,13.02,78
Chase Guerendo,WR,79,13.11,79
Tucker Walker,RB,80,13.2,80
Blake Allen,TE,81,13.29,81
Jonathon Coleman,QB,82,13.38,82
Grant Pollard,QB,83,13.47,83
Ladd Irving,WR,84,13.56,84
Chase Gibbs,RB,85,13.65,85
Emeka Penix,TE,86,13.74,86
Jalen Irving,QB,87,13.83,87
Caleb Pollard,RB,88,13.92,88
Grant Carter,WR,89,14.01,89
Tucker Franklin,TE,90,14.1,90
Tucker Etienne,RB,91,14.19,91
Ainias Brown,RB,92,14.28,92
Trey Swift,WR,93,14.37,93
Emeka Harrison,QB,94,14.46,94
Amari Wright,WR,95,14.55,95
Rashee Estime,TE,96,14.64,96
Marvin McConkey,WR,97,14.73,97
Ainias Benson,QB,98,14.82,98
Trey Dowdle,RB,99,14.91,99
Trey Franklin,RB,100,15.0,100
Ricky Adams,TE,101,15.09,101
Marvin Legette,WR,102,15.18,102
Isaiah Brooks,WR,103,15.27,103
Jonathon Hill,WR,104,15.36,104
Kyren Nabers,QB,105,15.45,105
Keon Carter,WR,106,15.54,106
Cooper Dowdle,TE,107,15.63,107
Chase Nix,WR,108,15.72,108
Braelon McConkey,WR,109,15.81,109
Trey Gibbs,WR,110,15.9,110
Bo Dowdle,RB,111,15.99,111
Emeka Pollard,TE,112,16.08,112
Marvin Corum,WR,113,16.17,113
Audric Allen,TE,114,16.26,114
Emeka Jefferson,RB,115,16.35,115
Braelon Rice,QB,116,16.44,116
Garrett Nix,WR,117,16.53,117
Rome Corum,WR,118,16.62,118
Deven Spears,QB,119,16.71,119
Caleb Maye,WR,120,16.8,120
Theo Irving,WR,121,16.89,121
Jaxon Penix,TE,122,16.98,122
Dylan Robinson,WR,123,17.07,123
Javon Worthy,RB,124,17.16,124
Troy Irving,RB,125,17.25,125
Xzavier Odunze,RB,126,17.34,126
Marvin Harrison,WR,127,17.43,127
Cooper Hall,TE,128,17.52,128
Devon Nabers,WR,129,17.61,129
Zay Legette,WR,130,17.7,130
Braelon Dowdle,QB,131,17.79,131
Quentin Brown,WR,132,17.88,132
Rashee Spears,RB,133,17.97,133
Amari Nix,RB,134,18.06,134
Jayden Irving,TE,135,18.15,135
Audric Pollard,WR,136,18.24,136
Dylan Carter,TE,137,18.33,137
Trey Harrison,QB,138,18.42,138
Blake Carter,WR,139,18.51,139
Roman Corum,RB,140,18.6,140
Keon Legette,TE,141,18.69,141
Jayden Shipley,RB,142,18.78,142
Tank Thomas,QB,143,18.87,143
Isaiah McConkey,WR,144,18.96,144
Troy Nabers,WR,145,19.05,145
Drake Spears,TE,146,19.14,146
Garrett Carter,WR,147,19.23,147
Malik Maye,RB,148,19.32,148
Devon Shipley,TE,149,19.41,149
Braelon Irving,WR,150,19.5,150
Roman Brooks,RB,151,19.59,151
Bo Nabers,RB,152,19.68,152
Grant Guerendo,TE,153,19.77,153
Tucker Dowdle,RB,154,19.86,154
Tyreek Legette,RB,155,19.95,155
Keon Hall,WR,156,20.04,156
Caleb Hall,QB,157,20.13,157
Malik Allen,RB,158,20.22,158
Emeka Guerendo,WR,159,20.31,159
Ladd Shipley,WR,160,20.4,160
Xzavier Guerendo,QB,161,20.49,161
Troy Rice,TE,162,20.58,162
Roman Gibbs,WR,163,20.67,163
Blake Wright,WR,164,20.76,164
Rome Allen,WR,165,20.85,165
Amari Brown,WR,166,20.94,166
Devon Maye,RB,167,21.03,167
Puka Mason,WR,168,21.12,168
Jonathon Corum,RB,169,21.21,169
Grant Estime,K,170,21.3,170
Xavier McConkey,QB,171,21.39,171
Tank Allen,QB,172,21.48,172
Tucker Estime,QB,173,21.57,173
Braelon Allen,TE,174,21.66,174
Tyreek Maye,K,175,21.75,175
Grant Thomas,RB,176,21.84,176
Theo Harrison,TE,177,21.93,177
Kyren Maye,WR,178,22.02,178
Emeka Robinson,K,179,22.11,179
Keon Franklin,K,180,22.2,180
Tyreek Tracy,QB,181,22.29,181
Malik Franklin,WR,182,22.38,182
Tucker Penix,K,183,22.47,183
Jaxon Jefferson,K,184,22.56,184
Cardinals DST,DST,185,22.65,185
Caleb Mason,K,186,22.74,186
Bo Worthy,QB,187,22.83,187
Javon Hall,RB,188,22.92,188
Chase Etienne,TE,189,23.01,189
Ainias Adams,RB,190,23.1,190
Drake Penix,K,191,23.19,191
Ladd Hall,RB,192,23.28,192
Javon Hill,TE,193,23.37,193
Tyreek McConkey,RB,194,23.46,194
Caleb Bowers,RB,195,23.55,195
Theo Benson,QB,196,23.64,196
Bills DST,DST,197,23.73,197
Bo McConkey,WR,198,23.82,198
Ricky Brown,RB,199,23.91,199
Kyren Daniels,WR,200,24.0,200
Marvin Spears,K,201,24.09,201
Amari Legette,K,202,24.18,202
Javon Walker,TE,203,24.27,203
Brock Coleman,K,204,24.36,204
Ravens DST,DST,205,24.45,205
Jonathon Mason,WR,206,24.54,206
Caleb Thomas,WR,207,24.63,207
Theo Worthy,RB,208,24.72,208
Braelon Nabers,WR,209,24.81,209
Zay Worthy,TE,210,24.9,210
Drake Harrison,WR,211,24.99,211
Marvin Swift,WR,212,25.08,212
Keon Allen,RB,213,25.17,213
Falcons DST,DST,214,25.26,214
Bijan Allen,WR,215,25.35,215
Tucker Bowers,TE,216,25.44,216
Jayden Brown,RB,217,25.53,217
Malik Legette,K,218,25.62,218
Panthers DST,DST,219,25.71,219
Elic Maye,TE,220,25.8,220
Marcus Adams,RB,221,25.89,221
Elic Bowers,K,222,25.98,222
Puka Bowers,RB,223,26.07,223
Zay Swift,K,224,26.16,224
Braelon Etienne,K,225,26.25,225
Ainias Harrison,TE,226,26.34,226
Bijan Wilson,K,227,26.43,227
Brock Jefferson,RB,228,26.52,228
Browns DST,DST,229,26.61,229
Dylan Rice,WR,230,26.7,230
Xavier Spears,K,231,26.79,231
Roman McConkey,RB,232,26.88,232
Tank Walker,WR,233,26.97,233
Bengals DST,DST,234,27.06,234
Elic Adams,TE,235,27.15,235
Puka Shipley,RB,236,27.24,236
Ainias Bigsby,WR,237,27.33,237
Bears DST,DST,238,27.42,238
Devon Hall,WR,239,27.51,239
Tank Penix,K,240,27.6,240
Troy Pollard,TE,241,27.69,241
Kyren Estime,TE,242,27.78,242
Tyreek Guerendo,WR,243,27.87,243
Broncos DST,DST,244,27.96,244
Braelon Harrison,K,245,28.05,245
Marvin Jefferson,TE,246,28.14,246
Cowboys DST,DST,247,28.23,247
Isaiah Etienne,K,248,28.32,248
Marcus Hill,WR,249,28.41,249
Troy Daniels,WR,250,28.5,250
Marvin Wilson,TE,251,28.59,251
Bijan Carter,RB,252,28.68,252
Audric Shipley,RB,253,28.77,253
Deven Allen,RB,254,28.86,254
Tank Maye,RB,255,28.95,255
Amari Hall,WR,256,29.04,256
Keon McConkey,RB,257,29.13,257
Garrett Daniels,WR,258,29.22,258
