source,player,pos,team,bye,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,fumbles_lost,two_pts,rec,rec_yds,rec_tds,xp,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,dst_sacks,dst_int,dst_fum_rec,dst_td,dst_safety,dst_blk,dst_forced_fumble,dst_pts_allowed
CBS,Puka Estime,QB,CLE,12,4785.526,33.467,8.646,153.647,1.629,2.166,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Puka Estime,QB,CLE,12,4844.743,36.261,9.832,165.701,1.43,2.154,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Puka Estime,QB,CLE,12,4469.447,36.317,8.825,147.343,1.348,2.18,0.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Puka Estime,QB,CLE,12,4839.518,31.465,8.713,156.277,1.396,2.088,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Puka Estime,QB,CLE,12,5291.977,33.428,8.907,156.419,1.458,2.214,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Puka Estime,QB,CLE,12,4999.056,32.8,9.499,154.826,1.482,2.088,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Kyren Etienne,QB,CIN,11,4676.602,31.716,8.657,154.44,1.497,2.206,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Kyren Etienne,QB,CIN,11,4622.291,36.178,9.802,149.471,1.458,2.203,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Kyren Etienne,QB,CIN,11,4649.37,29.938,9.063,148.372,1.541,2.401,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Kyren Etienne,QB,CIN,11,5026.173,32.717,8.295,158.611,1.394,2.468,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Kyren Etienne,QB,CIN,11,4936.228,31.618,9.206,141.826,1.637,2.052,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Kyren Etienne,QB,CIN,11,4176.068,29.236,7.834,153.647,1.464,2.117,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Jonathon Hall,QB,PIT,11,4764.512,31.098,9.886,602.739,6.087,2.229,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Jonathon Hall,QB,PIT,11,4320.886,28.776,8.714,571.072,5.637,2.055,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Jonathon Hall,QB,PIT,11,4228.764,31.282,9.276,585.275,6.045,2.245,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Jonathon Hall,QB,PIT,11,4581.031,29.017,8.563,568.052,5.857,2.101,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Jonathon Hall,QB,PIT,11,4607.905,31.883,8.777,564.452,6.234,2.056,0.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Jonathon Hall,QB,PIT,11,3948.734,28.281,8.905,570.701,5.37,2.085,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Ricky Tracy,QB,WAS,6,4526.768,30.04,9.272,138.902,1.272,2.201,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Ricky Tracy,QB,WAS,6,4257.506,29.911,7.98,137.363,1.316,2.052,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Ricky Tracy,QB,WAS,6,4148.593,32.574,8.389,131.118,1.329,2.267,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Ricky Tracy,QB,WAS,6,4235.616,29.778,7.854,135.692,1.332,1.822,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Ricky Tracy,QB,WAS,6,4039.226,28.695,8.542,137.49,1.443,2.246,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Ricky Tracy,QB,WAS,6,4519.592,29.999,9.24,139.658,1.41,2.112,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Marcus Pollard,QB,KC,10,4044.058,28.666,8.86,128.595,1.397,2.15,0.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Marcus Pollard,QB,KC,10,4582.11,28.618,7.573,136.566,1.458,2.003,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Marcus Pollard,QB,KC,10,4082.751,30.11,8.472,135.264,1.352,2.293,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Marcus Pollard,QB,KC,10,3718.044,26.089,9.189,134.02,1.28,2.2,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Marcus Pollard,QB,KC,10,3844.293,27.535,7.989,143.916,1.289,2.251,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Marcus Pollard,QB,KC,10,4070.759,26.727,9.564,137.122,1.421,2.273,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Bijan Corum,QB,CHI,10,4068.536,29.243,7.817,548.822,4.822,2.116,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Bijan Corum,QB,CHI,10,4016.744,28.015,8.615,503.979,4.953,2.03,0.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Bijan Corum,QB,CHI,10,4380.843,27.931,7.464,515.561,5.383,2.035,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Bijan Corum,QB,CHI,10,3452.238,24.734,8.436,509.404,5.392,2.098,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Bijan Corum,QB,CHI,10,3685.942,29.29,9.386,493.276,5.258,1.908,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Bijan Corum,QB,CHI,10,4376.51,28.485,8.375,531.492,5.331,1.959,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Bo Robinson,QB,CIN,11,4000.429,25.502,8.433,130.323,1.275,2.081,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Bo Robinson,QB,CIN,11,4022.234,25.21,7.901,140.442,1.237,1.943,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Bo Robinson,QB,CIN,11,3985.149,26.816,8.853,131.507,1.31,2.206,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Bo Robinson,QB,CIN,11,3963.033,28.88,7.333,118.893,1.209,1.989,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Bo Robinson,QB,CIN,11,3805.363,28.178,7.294,131.882,1.482,2.334,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFL,Bo Robinson,QB,CIN,11,3626.054,28.078,8.299,124.734,1.161,2.198,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBS,Ainias Allen,QB,WAS,6,4047.601,27.26,8.252,93.99,1.129,2.108,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,Ainias Allen,QB,WAS,6,3944.157,24.543,8.196,121.209,1.245,2.145,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FantasyPros,Ainias Allen,QB,WAS,6,3821.984,25.085,8.612,109.837,1.176,1.899,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFToday,Ainias Allen,QB,WAS,6,3498.516,24.845,7.72,118.689,1.153,2.204,0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NumberFire,Ainias Allen,QB,WAS,6,3607.99,29.297,7.997,120.953,1.184,2.044,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
